INS,COMMUNE,LAT,LONG,CODPOSS
91034,DINANT,50.25,4.9,5500
63020,DISON,50.6,5.85,4820
93018,DOISCHE,50.13333333,4.733333333,5680
64023,DONCEEL,50.63333333,5.316666667,4357
53020,DOUR,50.38333333,3.766666667,7370
23098,DROGENBOS,50.78333333,4.316666667,1620
12009,DUFFEL,51.08333333,4.5,2570
83012,DURBUY,50.35,5.45,6940
55050,ECAUSSINNES,50.56666667,4.166666667,7190
11013,EDEGEM,51.15,4.433333333,2650
43005,EEKLO,51.18333333,3.566666667,9900
92035,EGHEZEE,50.58333333,4.9,5310
51017,ELLEZELLES,50.73333333,3.666666667,7890
21009,ELSENE,50.81666667,4.366666667,1050
55010,ENGHIEN,50.68333333,4.033333333,7850
61080,ENGIS,50.56666667,5.4,4480
83013,EREZEE,50.28333333,5.55,6997
41082,ERPE-MERE,50.93333333,3.966666667,9420
56022,ERQUELINNES,50.3,4.1,6560
62032,ESNEUX,50.53333333,5.566666667,4130
11016,ESSEN,51.45,4.45,2910
57027,ESTAIMPUIS,50.7,3.25,7730
56085,ESTINNES,50.38333333,4.083333333,7120
85009,ETALLE,49.66666667,5.6,6740
21005,ETTERBEEK,50.81666667,4.383333333,1040
63023,EUPEN,50.61666667,6.033333333,4700
21006,EVERE,50.86666667,4.4,1140
44019,EVERGEM,51.1,3.7,9940
64076,FAIMES,50.65,5.25,4317
52018,FARCIENNES,50.41666667,4.55,6240
82009,FAUVILLERS,49.85,5.666666667,6637
92138,FERNELMONT,50.53333333,4.966666667,5380
61019,FERRIERES,50.38333333,5.6,4190
64025,FEXHE-LE-HAUT-CLOCHER,50.66666667,5.383333333,4347
62120,FLEMALLE,50.6,5.466666667,4400
62038,FLERON,50.61666667,5.683333333,4620
52021,FLEURUS,50.48333333,4.55,6220
51019,FLOBECQ,50.73333333,3.733333333,7880
92045,FLOREFFE,50.43333333,4.75,5150
93022,FLORENNES,50.25,4.6,5620
85011,FLORENVILLE,49.7,5.3,6820
52022,FONTAINE-L'EVEQUE,50.4,4.316666667,6140
92048,FOSSES-LA-VILLE,50.38333333,4.683333333,5070
53028,FRAMERIES,50.4,3.883333333,7080
51065,FRASNES-LEZ-ANVAING,50.66666667,3.616666667,7910
56029,FROIDCHAPELLE,50.15,4.316666667,6440
23023,GALMAARDEN,50.75,3.966666667,1570
21008,GANSHOREN,50.86666667,4.3,1083
44020,GAVERE,50.91666667,3.65,9890
91054,GEDINNE,49.96666667,4.933333333,5575
13008,GEEL,51.15,4.983333333,2440
64029,GEER,50.66666667,5.166666667,4250
24028,GEETBETS,50.88333333,5.116666667,3450
92142,GEMBLOUX,50.55,4.683333333,5030
25031,GENAPPE,50.6,4.45,1470
71016,GENK,50.95,5.5,3600
44021,GENT,51,3.716666667,9000
41018,GERAARDSBERGEN,50.76666667,3.883333333,9500
52025,GERPINNES,50.33333333,4.516666667,6280
92054,GESVES,50.4,5.066666667,5340
71017,GINGELOM,50.75,5.133333333,3890
35005,GISTEL,51.15,2.966666667,8470
24137,GLABBEEK,50.86666667,4.933333333,3380
23024,GOOIK,50.78333333,4.116666667,1755
82037,GOUVY,50.18333333,5.933333333,6670
